         234878 function calls (229087 primitive calls) in 0.521 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      344    0.082    0.000    0.087    0.000 <frozen importlib._bootstrap_external>:830(get_data)
      342    0.062    0.000    0.062    0.000 {built-in method marshal.loads}
    72/55    0.057    0.001    0.079    0.001 {built-in method _imp.create_dynamic}
        1    0.039    0.039    0.044    0.044 functions.py:3(build_dict)
1042/1036    0.022    0.000    0.070    0.000 {built-in method builtins.__build_class__}
     1994    0.016    0.000    0.016    0.000 {built-in method posix.stat}
      854    0.016    0.000    0.016    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      593    0.012    0.000    0.012    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
    405/1    0.012    0.000    0.521    0.521 {built-in method builtins.exec}
     1009    0.008    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
      344    0.005    0.000    0.005    0.000 {method 'read' of '_io.FileIO' objects}
      343    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
     6768    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
     7686    0.004    0.000    0.004    0.000 {built-in method builtins.getattr}
     5154    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
      547    0.004    0.000    0.053    0.000 <frozen importlib._bootstrap>:870(_find_spec)
    21191    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
      437    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x10d807840}
      593    0.004    0.000    0.035    0.000 textwrap.py:414(dedent)
    617/2    0.003    0.000    0.475    0.238 <frozen importlib._bootstrap>:966(_find_and_load)
     5154    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
   217/82    0.003    0.000    0.009    0.000 sre_parse.py:470(_parse)
     5349    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
     1167    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      343    0.003    0.000    0.169    0.000 <frozen importlib._bootstrap_external>:743(get_code)
        1    0.003    0.003    0.003    0.003 <frozen importlib._bootstrap_external>:106(_write_atomic)
       50    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
     1167    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
      686    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
      542    0.002    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
    10825    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
    617/2    0.002    0.000    0.475    0.238 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
     1167    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
   398/75    0.002    0.000    0.008    0.000 sre_compile.py:64(_compile)
     6719    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
      420    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
    11001    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
    421/3    0.002    0.000    0.474    0.158 <frozen importlib._bootstrap>:651(_load_unlocked)
     1562    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
     5452    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
2131/1161    0.002    0.000    0.208    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
      101    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
       16    0.001    0.000    0.003    0.000 enum.py:124(__new__)
     1052    0.001    0.000    0.004    0.000 enum.py:801(__and__)
    12205    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      167    0.001    0.000    0.002    0.000 sre_compile.py:250(_optimize_charset)
     2364    0.001    0.000    0.002    0.000 enum.py:515(__new__)
     2760    0.001    0.000    0.001    0.000 sre_parse.py:232(__next)
     5239    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
     3802    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
 1019/977    0.001    0.000    0.002    0.000 typing.py:1164(__setattr__)
      420    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
      415    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
     2377    0.001    0.000    0.007    0.000 enum.py:265(__call__)
      356    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
      112    0.001    0.000    0.007    0.000 abc.py:132(__new__)
     2133    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
       80    0.001    0.000    0.009    0.000 typing.py:922(__new__)
     1977    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
  656/335    0.001    0.000    0.001    0.000 sre_parse.py:173(getwidth)
    343/3    0.001    0.000    0.474    0.158 <frozen importlib._bootstrap_external>:672(exec_module)
        1    0.001    0.001    0.001    0.001 sorting.py:269(_KeyMapper)
      342    0.001    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
      567    0.001    0.000    0.024    0.000 re.py:286(_compile)
      547    0.001    0.000    0.034    0.000 _decorators.py:300(__call__)
        1    0.001    0.001    0.003    0.003 core.py:21(<module>)
  420/395    0.001    0.000    0.090    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     2210    0.001    0.000    0.002    0.000 sre_parse.py:253(get)
6166/5978    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     1209    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
      415    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
      624    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      549    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     1532    0.001    0.000    0.001    0.000 sre_parse.py:163(__getitem__)
      611    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      611    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      414    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
        1    0.001    0.001    0.004    0.004 generic.py:102(NDFrame)
     3531    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      618    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:147(__enter__)
      758    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:403(cached)
       50    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
       23    0.001    0.000    0.001    0.000 generic.py:6(create_pandas_abc_type)
      688    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      342    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
     3531    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
   190/75    0.001    0.000    0.009    0.000 sre_parse.py:407(_parse_sub)
      134    0.001    0.000    0.001    0.000 functools.py:44(update_wrapper)
       27    0.001    0.000    0.013    0.000 __init__.py:357(namedtuple)
       60    0.001    0.000    0.001    0.000 ops.py:891(_wrap_inplace_method)
        1    0.001    0.001    0.001    0.001 {method 'write' of '_io.FileIO' objects}
     1753    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:847(__exit__)
      549    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
        1    0.001    0.001    0.001    0.001 datetime.py:1949(timezone)
     1753    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:843(__enter__)
      529    0.001    0.000    0.001    0.000 {built-in method builtins.any}
2546/2512    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
   447/42    0.001    0.000    0.396    0.009 {built-in method builtins.__import__}
      542    0.001    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
      238    0.001    0.000    0.001    0.000 enum.py:70(__setitem__)
       30    0.000    0.000    0.222    0.007 __init__.py:1(<module>)
     1009    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:37(_relax_case)
     1228    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      343    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      282    0.000    0.000    0.002    0.000 function_base.py:3895(add_newdoc)
      309    0.000    0.000    0.001    0.000 enum.py:351(__setattr__)
     2335    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      158    0.000    0.000    0.000    0.000 _decorators.py:247(__call__)
      618    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
