[95m [1m 0 rows have missing values and they are excluded in the process.
         126720514 function calls (126720481 primitive calls) in 156.118 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   52.297   52.297  156.118  156.118 pharmacy_counting.py:1(<module>)
        1   39.163   39.163   60.131   60.131 functions.py:3(build_dict)
        1   34.575   34.575   40.417   40.417 functions.py:30(process_data)
 24525865   11.870    0.000   11.870    0.000 {method 'split' of 'str' objects}
 24525899    5.589    0.000    5.589    0.000 {method 'setdefault' of 'dict' objects}
 49057425    5.231    0.000    5.231    0.000 {method 'append' of 'list' objects}
        1    3.257    3.257    3.264    3.264 functions.py:49(write_csv)
 24525864    2.350    0.000    2.350    0.000 {method 'items' of 'dict' objects}
     2749    0.802    0.000    1.356    0.000 {built-in method builtins.sorted}
  3779875    0.554    0.000    0.554    0.000 functions.py:45(<lambda>)
   143464    0.226    0.000    0.226    0.000 {built-in method _codecs.utf_8_decode}
   143464    0.161    0.000    0.387    0.000 codecs.py:318(decode)
        1    0.027    0.027    0.027    0.027 {method 'close' of '_io.TextIOWrapper' objects}
     2810    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
        3    0.003    0.001    0.003    0.001 {method 'read' of '_io.FileIO' objects}
     2750    0.002    0.000    0.003    0.000 {method 'write' of '_io.TextIOWrapper' objects}
2886/2880    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     2750    0.001    0.000    0.001    0.000 codecs.py:326(reset)
        3    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
    27/25    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
        3    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:830(get_data)
       33    0.000    0.000    0.000    0.000 {built-in method posix.stat}
     2750    0.000    0.000    0.000    0.000 codecs.py:275(reset)
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
      6/5    0.000    0.000    0.000    0.000 sre_parse.py:470(_parse)
        1    0.000    0.000  103.813  103.813 pharmacy_counting.py:21(test_run)
     12/4    0.000    0.000    0.000    0.000 sre_compile.py:64(_compile)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
        2    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        3    0.000    0.000    0.000    0.000 gettext.py:466(find)
       11    0.000    0.000    0.001    0.000 re.py:286(_compile)
       12    0.000    0.000    0.000    0.000 posixpath.py:73(join)
      139    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
    18/10    0.000    0.000    0.000    0.000 sre_parse.py:173(getwidth)
